game_id,series_id,map_name,team_id,team_name,composition,duelist_count,controller_count,sentinel_count,initiator_count
22bb6096-8b8d-460c-8f76-11006184e573,2775988,split,1079,Sentinels,"omen,viper,yoru,breach,tejo",1,2,0,2
4f12a259-d492-4c9d-a643-6d7a232bfda0,2775989,icebox,48457,KRÜ Esports,"harbor,viper,jett,sova,killjoy",1,2,1,1
ce9bb129-3b89-4f7f-9d15-fb5a632a2991,2775993,lotus,96,G2 Esports,"omen,viper,yoru,breach,tejo",1,2,0,2
08c5bf4e-f883-405a-b2c2-d5661c9f3e14,2775981,split,281,Evil Geniuses,"astra,viper,raze,breach,tejo",1,2,0,2
03d68365-f62c-473c-95a1-4aa1dff0367c,2775955,lotus,99,FURIA,"clove,omen,neon,breach,fade",1,2,0,2
102b780b-de11-4049-a334-8069daaa8aef,2775955,ascent,96,G2 Esports,"omen,waylay,kay/o,tejo,vyse",1,1,1,2
393de77c-90eb-438e-9486-639ff2bf41aa,2775959,fracture,97,NRG,"brimstone,raze,breach,tejo,cypher",1,1,1,2
5f27f062-7d66-4598-8ebd-2fe9fef9f7c2,2775964,split,79,Cloud9,"omen,viper,yoru,breach,tejo",1,2,0,2
e8a576ee-9560-44d3-ac33-4fd0b3df07ad,2775968,lotus,97,NRG,"omen,raze,breach,tejo,vyse",1,1,1,2
12e68607-5767-415f-b349-abba0688132f,2775968,ascent,97,NRG,"omen,jett,kay/o,sova,cypher",1,1,1,2
d020a707-feca-44c7-a72f-7f492c637972,2775972,lotus,1611,Leviatán Esports,"omen,viper,neon,breach,tejo",1,2,0,2
048192f2-dd93-493b-b943-ac291debe55b,2775978,icebox,81,MIBR (1),"harbor,viper,jett,sova,killjoy",1,2,1,1
b5932ad8-88f8-4626-b6de-339c4f7d673e,2681840,lotus,79,Cloud9,"clove,omen,raze,gekko,killjoy",1,2,1,1
42f11322-2575-4042-82d9-34a1fd8dd19b,2681846,ascent,1611,Leviatán Esports,"omen,jett,sova,cypher,deadlock",1,1,2,1
b74e9644-2394-49a5-bb31-4973ea728ffc,2681817,lotus,281,Evil Geniuses,"omen,neon,breach,fade,cypher",1,1,1,2
87831b61-caaa-467d-bee3-9d1016b08546,2681819,ascent,81,MIBR (1),"omen,jett,kay/o,sova,killjoy",1,1,1,2
6e09564c-41e4-4113-8257-3f75b148d181,2681823,sunset,1611,Leviatán Esports,"omen,neon,breach,sova,cypher",1,1,1,2
09370f4b-6cdc-4ed0-b5d0-76ca315e1535,2681835,split,48457,KRÜ Esports,"omen,viper,raze,skye,cypher",1,2,1,1
1bd3eda3-5917-4daf-978c-84c16b81bfc2,2843060,corrode,1611,Leviatán Esports,"omen,viper,neon,fade,chamber",1,2,1,1
5a5d6f54-28fd-469f-b2b7-59019793fa62,2819681,corrode,96,G2 Esports,"omen,viper,yoru,sova,vyse",1,2,1,1
bcf8a377-5f93-4a0b-b0a3-31d00ed9d70d,2819682,ascent,96,G2 Esports,"omen,yoru,sova,chamber,vyse",1,1,2,1
aef88b0f-95d8-454a-a044-5e1bb9a5cb4c,2819683,icebox,1079,Sentinels,"viper,jett,sova,killjoy,sage",1,1,2,1
7984d7f3-3b19-4f2e-b230-e3f6af270375,2819685,haven,3412,LOUD (1),"omen,neon,breach,sova,cypher",1,1,1,2
19594f1c-8e9c-4426-b895-95e348041d50,2819685,corrode,97,NRG,"omen,viper,waylay,kay/o,sova",1,2,0,2
f175545b-6d0a-4c7d-8779-987c4cdaa4f5,2819687,sunset,1611,Leviatán Esports,"omen,neon,kay/o,sova,vyse",1,1,1,2
1ea22d41-5b4f-4573-af44-f0d9bc541cda,2819695,lotus,81,MIBR (1),"omen,raze,yoru,fade,vyse",2,1,1,1
bf3e378e-0a78-499f-8bd7-75dbcb99f86b,2819705,icebox,3412,LOUD (1),"omen,viper,jett,sova,killjoy",1,2,1,1
719f343f-e8d5-44de-98c5-e66f04d0f5ab,2629390,breeze,99,FURIA,"viper,jett,kay/o,sova,cypher",1,1,1,2
cd0ede88-b842-4de2-ae9f-bb8776a99437,2629390,ascent,99,FURIA,"omen,jett,kay/o,sova,killjoy",1,1,1,2
03babb80-c970-443f-a21f-f7a4370a23ad,2629401,ascent,79,Cloud9,"omen,jett,kay/o,sova,killjoy",1,1,1,2
e9343429-3dcc-4633-a28b-585ff4b33c2e,2748748,split,337,100 Thieves,"astra,raze,breach,tejo,sage",1,1,1,2
3c038c28-3080-4730-a6da-7941e84381ac,2748766,haven,96,G2 Esports,"astra,yoru,breach,tejo,vyse",1,1,1,2
5c0033f6-1a30-42bb-a09a-ca61b470feb9,2654003,sunset,337,100 Thieves,"omen,raze,gekko,sova,cypher",1,1,1,2
f08e1ac0-c575-4ba7-b1de-e7caf6dd202f,2654004,ascent,96,G2 Esports,"omen,jett,kay/o,sova,killjoy",1,1,1,2
6ba8e10f-779f-4982-8c09-dbd6d5982ea4,2654004,split,337,100 Thieves,"astra,viper,raze,fade,gekko",1,2,0,2
4242545a-2c5f-4d0f-8239-63b2102cdb36,2654052,breeze,96,G2 Esports,"astra,viper,yoru,sova,cypher",1,2,1,1
a3829f99-0642-4cc6-8007-bc207a2efed8,2654052,sunset,337,100 Thieves,"omen,raze,gekko,sova,cypher",1,1,1,2
9ff33c59-9e3e-412a-b015-01881a79eb59,2653969,ascent,79,Cloud9,"omen,jett,kay/o,sova,killjoy",1,1,1,2
c2440b95-ce02-4b30-aac7-ff1ffbcb80e9,2653976,lotus,1611,Leviatán Esports,"omen,viper,raze,fade,killjoy",1,2,1,1
d10dd165-9ffc-4add-9093-2de0cab3e8b5,2653985,bind,79,Cloud9,"brimstone,viper,raze,skye,cypher",1,2,1,1
bd70cd3b-b0f8-466b-8dd4-5fbd72d275dd,2653988,breeze,1611,Leviatán Esports,"viper,jett,kay/o,sova,cypher",1,1,1,2
9be9aa30-b1b7-4d33-a21a-babdd3a43994,2653999,bind,96,G2 Esports,"brimstone,viper,raze,gekko,skye",1,2,0,2
e9237108-ba35-4ed2-b431-23a43f2b070c,2775984,pearl,79,Cloud9,"astra,jett,yoru,sova,cypher",2,1,1,1
095227c4-d2e0-4b7f-8a73-c6d68031765a,2775994,haven,1079,Sentinels,"omen,neon,breach,sova,cypher",1,1,1,2
4a2a1e87-815d-47e1-897f-cf8e319c13f2,2775994,split,1079,Sentinels,"omen,viper,yoru,breach,tejo",1,2,0,2
f816e606-ea36-481e-8688-833dba794baa,2775994,ascent,96,G2 Esports,"omen,waylay,kay/o,tejo,vyse",1,1,1,2
08c5bf4e-f883-405a-b2c2-d5661c9f3e14,2775981,split,3412,LOUD (1),"omen,viper,jett,breach,tejo",1,2,0,2
38e746ea-9f0c-4287-bd52-921eeb66afda,2789396,pearl,281,Evil Geniuses,"astra,jett,yoru,tejo,vyse",2,1,1,1
8eea6ab2-3dc4-4fe1-9f01-028b0b8589bd,2775953,lotus,79,Cloud9,"omen,raze,breach,tejo,deadlock",1,1,1,2
eb7b4a14-e70c-47a6-8ab4-443ed2c65bae,2775956,split,1611,Leviatán Esports,"omen,viper,yoru,breach,tejo",1,2,0,2
cb5e350e-e18a-426b-bfbe-90603d72f1c9,2775962,haven,96,G2 Esports,"astra,yoru,breach,tejo,vyse",1,1,1,2
c107f7a8-39a2-478d-92d7-afc4e89a7f1c,2775962,ascent,96,G2 Esports,"omen,waylay,kay/o,tejo,vyse",1,1,1,2
5ce71594-de35-414f-ba2a-297f05473c58,2775969,pearl,1611,Leviatán Esports,"astra,yoru,fade,tejo,vyse",1,1,1,2
