team_id,map_name,side,win_type,count,percentage
48457,abyss,attacker,bombExploded,3,9.7
48457,abyss,defender,opponentEliminated,6,19.4
79,sunset,attacker,bombExploded,7,14.9
79,sunset,attacker,opponentEliminated,20,42.6
79,sunset,defender,timeExpired,2,4.3
79,sunset,defender,opponentEliminated,10,21.3
79,sunset,defender,bombDefused,8,17.0
99,breeze,defender,timeExpired,2,5.6
99,breeze,defender,bombDefused,8,22.2
99,breeze,attacker,bombExploded,5,13.9
99,breeze,defender,opponentEliminated,8,22.2
99,breeze,attacker,opponentEliminated,13,36.1
1079,bind,attacker,opponentEliminated,27,56.3
1079,bind,defender,opponentEliminated,6,12.5
1079,bind,attacker,bombExploded,6,12.5
1079,bind,defender,bombDefused,7,14.6
1079,bind,defender,timeExpired,2,4.2
1079,corrode,defender,bombDefused,4,15.4
1079,corrode,attacker,opponentEliminated,13,50.0
1079,corrode,defender,opponentEliminated,2,7.7
1079,corrode,attacker,bombExploded,4,15.4
1079,corrode,defender,timeExpired,3,11.5
337,haven,defender,opponentEliminated,19,28.8
337,haven,attacker,bombExploded,7,10.6
337,haven,defender,timeExpired,3,4.5
337,haven,attacker,opponentEliminated,23,34.8
337,haven,defender,bombDefused,14,21.2
3412,fracture,attacker,opponentEliminated,9,69.2
3412,fracture,defender,opponentEliminated,1,7.7
3412,fracture,defender,bombDefused,1,7.7
3412,fracture,attacker,bombExploded,2,15.4
48457,lotus,attacker,opponentEliminated,56,48.7
48457,lotus,defender,timeExpired,4,3.5
48457,lotus,attacker,bombExploded,15,13.0
48457,lotus,defender,opponentEliminated,25,21.7
48457,lotus,defender,bombDefused,15,13.0
79,haven,attacker,opponentEliminated,22,41.5
79,haven,attacker,bombExploded,15,28.3
79,haven,defender,opponentEliminated,8,15.1
79,haven,defender,bombDefused,8,15.1
96,icebox,defender,bombDefused,29,27.6
96,icebox,defender,timeExpired,1,1.0
96,icebox,attacker,opponentEliminated,40,38.1
96,icebox,attacker,bombExploded,12,11.4
96,icebox,defender,opponentEliminated,23,21.9
97,split,defender,opponentEliminated,4,15.4
97,split,defender,timeExpired,1,3.8
97,split,attacker,opponentEliminated,13,50.0
97,split,defender,bombDefused,4,15.4
97,split,attacker,bombExploded,4,15.4
1611,abyss,defender,bombDefused,3,23.1
1611,abyss,attacker,opponentEliminated,5,38.5
1611,abyss,defender,timeExpired,2,15.4
1611,abyss,defender,opponentEliminated,3,23.1
281,ascent,defender,bombDefused,4,30.8
281,ascent,defender,opponentEliminated,3,23.1
281,ascent,attacker,opponentEliminated,2,15.4
281,ascent,attacker,bombExploded,3,23.1
281,ascent,defender,timeExpired,1,7.7
337,fracture,attacker,bombExploded,1,4.3
337,fracture,defender,opponentEliminated,11,47.8
337,fracture,defender,timeExpired,1,4.3
337,fracture,attacker,opponentEliminated,8,34.8
337,fracture,defender,bombDefused,2,8.7
3412,haven,defender,timeExpired,3,7.7
3412,haven,attacker,opponentEliminated,12,30.8
3412,haven,defender,bombDefused,5,12.8
3412,haven,attacker,bombExploded,2,5.1
3412,haven,defender,opponentEliminated,17,43.6
48457,icebox,defender,opponentEliminated,18,18.8
48457,icebox,attacker,opponentEliminated,44,45.8
48457,icebox,attacker,bombExploded,8,8.3
48457,icebox,defender,bombDefused,22,22.9
48457,icebox,defender,timeExpired,4,4.2
53367,haven,defender,bombDefused,2,12.5
53367,haven,attacker,bombExploded,2,12.5
53367,haven,defender,opponentEliminated,7,43.8
53367,haven,attacker,opponentEliminated,5,31.3
79,fracture,attacker,bombExploded,6,16.7
79,fracture,defender,timeExpired,3,8.3
79,fracture,attacker,opponentEliminated,14,38.9
79,fracture,defender,bombDefused,7,19.4
