player_id,player_name,agent,agent_role,games_played,total_kills,total_deaths,kd_ratio,total_headshots
14940,icy,killjoy,Sentinel,2,49,38,1.29,42
77,keznitdeuS,neon,Duelist,7,132,115,1.15,104
272,tuyZ,fade,Initiator,1,16,19,0.84,13
3314,havoc,neon,Duelist,4,70,76,0.92,70
2512,johnqt,deadlock,Sentinel,3,40,44,0.91,28
49,xand,fade,Initiator,1,7,16,0.44,10
27795,Player 1,chamber,Sentinel,1,10,10,1.0,6
77,keznitdeuS,skye,Initiator,1,7,12,0.58,5
297,Ethan,fade,Initiator,3,46,48,0.96,33
10630,Verno,skye,Initiator,1,15,19,0.79,18
2837,artzin,viper,Controller,1,15,15,1.0,13
11334,Demon1,jett,Duelist,12,200,174,1.15,143
291,crashies,sova,Initiator,8,111,100,1.11,77
2641,jzz,raze,Duelist,4,67,70,0.96,56
45,liazzi,astra,Controller,1,6,13,0.46,9
266,mazin,kay/o,Initiator,4,39,65,0.6,41
58,Saadhak,kay/o,Initiator,4,55,61,0.9,47
2361,Cryo,brimstone,Controller,11,179,161,1.11,129
2343,tex,cypher,Sentinel,24,345,343,1.01,301
3260,Sacy,gekko,Initiator,4,58,61,0.95,53
2353,trent,viper,Controller,4,56,55,1.02,48
866,yay,phoenix,Duelist,1,17,18,0.94,19
296,Asuna,neon,Duelist,12,160,189,0.85,155
52,nzr,skye,Initiator,6,67,86,0.78,55
2340,s0m,viper,Controller,7,108,99,1.09,78
57,mwzera,skye,Initiator,1,9,13,0.69,6
2353,trent,tejo,Initiator,36,594,465,1.28,480
2348,neT,astra,Controller,1,13,16,0.81,13
2358,mada,jett,Duelist,6,102,83,1.23,68
206,adverso,tejo,Initiator,6,65,89,0.73,48
3305,PxS,fade,Initiator,1,12,13,0.92,7
32268,silentzz,vyse,Sentinel,1,9,15,0.6,11
32030,Pryze,sova,Initiator,4,53,50,1.06,41
2646,raafa,kay/o,Initiator,5,33,73,0.45,25
2348,neT,viper,Controller,9,131,115,1.14,105
11968,Runi,clove,Controller,2,43,39,1.1,40
