series_id,ingested_at,source_path,depth_level,games_count,rounds_count,status,error_message
2843065,2026-01-20 21:37:40.133419,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2025 [Playoffs_ Playoffs]\2843065,2,2,5846,success,
2843066,2026-01-20 21:37:40.184794,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2025 [Playoffs_ Playoffs]\2843066,2,2,5846,success,
2843067,2026-01-20 21:37:40.23443,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2025 [Playoffs_ Playoffs]\2843067,2,2,5846,success,
2843068,2026-01-20 21:37:40.282803,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2025 [Playoffs_ Playoffs]\2843068,2,2,5846,success,
2843069,2026-01-20 21:37:40.341075,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2025 [Playoffs_ Playoffs]\2843069,2,3,5846,success,
2843070,2026-01-20 21:37:40.406093,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2025 [Playoffs_ Playoffs]\2843070,2,4,5846,success,
2843071,2026-01-20 21:37:40.463441,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2025 [Playoffs_ Playoffs]\2843071,2,3,5846,success,
2819676,2026-01-20 21:37:45.463503,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2025 [Regular Season_ Group A]\2819676,4,2,5882,success,
2819678,2026-01-20 21:37:54.351781,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2025 [Regular Season_ Group A]\2819678,4,3,5948,success,
2819681,2026-01-20 21:38:03.190294,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2025 [Regular Season_ Group A]\2819681,4,3,6014,success,
2819682,2026-01-20 21:38:08.512327,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2025 [Regular Season_ Group A]\2819682,4,2,6053,success,
2819683,2026-01-20 21:38:12.800078,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2025 [Regular Season_ Group A]\2819683,4,2,6083,success,
2819686,2026-01-20 21:38:12.848101,e:\work\hackathon\data\valorant\VCT Americas - Stage 2 2025 [Regular Season_ Group A]\2819686,2,2,6083,success,
